502628 ; 2018-06-04 ; Claro Chile - Mentirosos y mala atencion  ; [Estaba en el tiempo de cambiar mi telefono y me dijeron que me darian el s6 o el s7 y no habia minguno de los dos me mandaron al costanera y me trataron pesimo desde que entre como que estaba pidiendole un favor al querer cambiar el equipo y exsigir que me dieran el telefono que me prometieron y despues me ofrecieron el huawei p20 y llego a la sucursal de plaza norte y es la misma atencion me trato pesimo el ejecutivo y  mas encima tenia que pagar por el p20 saviendo que me lo ivan a dar costo cero hasta cuando le siguen mintiendo a la gente yo no estoy para el leseo suyo yo pago por un servicio no le estoy pidiendo fiao meresco una mejor atencion y que no engañen a la gente como fui engañada yo porque yo me cambie a ustedes porque pense que era empresa seria no una falsa y mentirosa que juega con la gente asi mas con clientas de tiempo que se creen y tuve que llevarme otro telefono mas malo y mas encima subir mi plan para llevarmelo a costo cero como se les ocurre como dicen una cosa y uno llega a la sucursal y te dicen otra estan jugando con la integridad de personas que no estan para su leseo son unos sinverguenzas y estoy esperando cambiarme y voy a poner un reclamo a la superintendencia de telecomunicaciones por el trato que me dieron y por mentirme eso es un engaño hacia la gente que cree en ustedes Claro es una empresa que engaña a la gente y trata mal a la gente que tiene planes ahi los humilla uno no les pide favores uno les paga a ustedes no para ser humillados y engañados]
502612 ; 2018-06-03 ; Movistar TV digital - servicio interrumpido sin solución oportuna ; [No tengo servicio de tv digital desde el lunes 28 de mayo (antena removida por temporal en santiago).Solicité ayuda telefónica para que llegue la señal; lo cual no funcionó, Para el martes agendaron mandar un técnico. La antena está sin señal, éste intenta subir al techo del edificio (de 4 pisos), pero le fue imposible. Cabe mencionar que el técnico andaba con uniforme de Movistar y "mocasines".Creo que esta es una falta grave, sin andar con ropa de seguridad.Hablé con su supervisor para que me aclarara qué harían para reponer el servicio. Solución: cambiar la antena al lado norte de mi depto. Esto significa, romper, taladrar, hacer hoyos para los cables. Justamente cuando mi depto está pintado, remodelado.Llamé de nuevo a Movistar exigiendo una solución, desde el 29 de mayo deberían haber venido en 24 horas...aún no aparecen ni responden mi solicitud y espero....Solicité me repongan el servicio, que aseguren la antena, traer alguna escalera o bién subir con arnés al edificio para llegar a la antena. Entendamos que el clima de invierno está más agresivo y deberán asegurar que tenga el servicio que estoy pagando.Anteriormente he tenido largas interrupciones en el servicio, la primera en enero: alrededor de 20 dias, abril 3 dias y ahora llevo 6 dias, aún así sigo pagando las cuentas...¿ quién recompensa este mal servicio? Es muy mala la gestión en la reposición.]
502610 ; 2018-06-03 ; Claro - descuento automático de saldo en prepago ; [Desde septiembre del año pasado que me descuentan saldo cada vez que recargo. fui a la oficina y no me dieron ninguna solución.solo me dijeron que a los sms promocionales que llegaban debía eliminarlos y generalmente ni los abro y los elimino enseguida. llevo meses así, es una  *****a ! y lo peor es que ni siquiera son capaces de dar una solución al ir a la oficina.]
502599 ; 2018-06-03 ; Claro - Actualización recurrente ; [hola mi decodificador aparece un mensaje que dice:, ""hay nuevos servicios disponibles comenzara una búsqueda de canales, este proceso comenzara dentro de 5 segundos y no podrá ser detenido"", pasan 5 segundos como dice en el mensaje y la pantalla se pone negra con un cuadro plomo que dice:""Actualización (código de mensaje 007) "" lo que dura como 10 segundos y vuelve el canal y comienza todo otra vez. Esto sucede hace muchos meses en.los canales nacionales, sin embargo desde la semana pasada comenzó con.todos los canales... y es una.situación muy molesta.]
502576 ; 2018-06-03 ; Vtr Internet - Bloqueo de puertos ; [Necesito q me desbloqeen el puerto 8000.Por q no puedo usar skype.para conctarme con mis familiares en el extranjero.]
502563 ; 2018-06-03 ; Movistar - Mala señal ; [Hace más de un mes que tengo pésima señal!! Las llamadas perdidas llegan en un msje una hora más tarde!!la conexión a internet es malisima.llamo a la sucursal y me dice que el tiempo de espera es mayor a lo habitual, trato de generar mi reclamo en Movistar .cl y tampoco puedo!! Mis pagos están al dia.]
502555 ; 2018-06-03 ; Claro - Mala señal ; [Hola  buenas tardes tengo muy Mala señal no me pesca en ningún lado y soy de la comun de alto hospicio y pago una cantidad de $ 36.000  pesos ilimitado lamentablemente voy a tener que dejar la compañia por malo gracias.]
502554 ; 2018-06-03 ; Movistar - Roaming no funciona  ; [Contratè servicio Roaming con Movistar para europa del este. No se les ocurra jamás contratarlo. No funciona!! Y lo peor es que tampoco funciona el número 611 que se supone que es para que te solucionen los problemas de roaming. Es de lo peor! Pésimo servicio al consumidor. Estas empresas abusan, hacen lo que quieren y lo peor es que les sale gratis! Yo renunciaré a movistar. Seguro que otra que contrate será más o menos lo mismo. En Chile, estamos fregados. De verdad.]
502553 ; 2018-06-03 ; Movistar - Incumplimiento de oferta ; [Oferta ofrecida por la empresa, y no se da cumplimiento]
502542 ; 2018-06-03 ; Entel - No puedo ver cuanto me queda para llamar ; [No sale cuanto me queda para llamar es con plan]
502540 ; 2018-06-03 ; Movistar Y Terra - Cobro indebido  ; [Este mes en mi boleta me salió un Cobro de club Terra, el cual yo no he contratado  . Quisiera que me solucionen el problema ya que he llamado y no dan ninguna solución . Simplemente leyendo  me he dado cuenta qué hat  muchos reclamos por lo mismo Solicito se hagan responsables.]
502535 ; 2018-06-03 ; Clarochile - Recarga no realizada ; [Buenas tardes el dia de hoy realicé una Recarga online con transferencia desde mi cuentarut por un monto de 7 mil los cuales fueron descontados del saldo de mi tarjeta pero no cargados a mi celular. Cual es el paso a seguir? Adjunto imagen , Mi numero es el 982820402]
502532 ; 2018-06-03 ; Entel Pcs - No se puede llamar ni recibir llamadas ; [Estoy desde ayer en la noche intentando llamar y no he logrado hacerlo, no solo yo, también mi pareja que tiene un chip entel no logra concretar llamadas con nadie,Entel se jacta de tener el servicio con mejor señal del pais, pero no está resultando al parecer.¿Estamos pagando por un servicio que no funciona?]
